danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,release_date,popularity,artist
0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,audio_features,7LP4Es66zdY7CyjepqmvAg,spotify:track:7LP4Es66zdY7CyjepqmvAg,https://api.spotify.com/v1/tracks/7LP4Es66zdY7CyjepqmvAg,https://api.spotify.com/v1/audio-analysis/7LP4Es66zdY7CyjepqmvAg,212107,4,Down,2009-01-01,1,Jay Sean
0.674,0.882,3,-2.771,0,0.0477,0.000441,0.0000647,0.068,0.682,123.016,audio_features,6lUY6MoqGgPnA27PHYxem5,spotify:track:6lUY6MoqGgPnA27PHYxem5,https://api.spotify.com/v1/tracks/6lUY6MoqGgPnA27PHYxem5,https://api.spotify.com/v1/audio-analysis/6lUY6MoqGgPnA27PHYxem5,205733,4,Bulletproof,2009-01-01,0,La Roux
0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,audio_features,2zJZwWF7BTGIIvrAlgzJEx,spotify:track:2zJZwWF7BTGIIvrAlgzJEx,https://api.spotify.com/v1/tracks/2zJZwWF7BTGIIvrAlgzJEx,https://api.spotify.com/v1/audio-analysis/2zJZwWF7BTGIIvrAlgzJEx,221253,4,Whatcha Say,2010-03-01,58,Jason Derulo
0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4,Baby,2010-01-01,81,Justin Bieber
0.44,0.683,11,-4.732,0,0.0489,0.00706,0,0.0593,0.445,185.948,audio_features,2rDwdvBma1O1eLzo29p2cr,spotify:track:2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/tracks/2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/audio-analysis/2rDwdvBma1O1eLzo29p2cr,227320,4,Whataya Want from Me,2009-11-23,62,Adam Lambert
0.624,0.757,7,-2.94,1,0.0296,0.00265,0.00000187,0.189,0.658,121.07,audio_features,0dBW6ZsW8skfvoRfgeerBF,spotify:track:0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/tracks/0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/audio-analysis/0dBW6ZsW8skfvoRfgeerBF,230707,4,Mine,2010-10-25,65,Taylor Swift
0.788,0.71,11,-4.24,0,0.0426,0.113,0.0000122,0.0638,0.632,125.919,audio_features,1VDXQhu7YGdbM6UeEIfsaX,spotify:track:1VDXQhu7YGdbM6UeEIfsaX,https://api.spotify.com/v1/tracks/1VDXQhu7YGdbM6UeEIfsaX,https://api.spotify.com/v1/audio-analysis/1VDXQhu7YGdbM6UeEIfsaX,235493,4,Only Girl (In The World),2010-11-16,54,Rihanna
0.578,0.9,0,-2.501,1,0.0443,0.0267,0,0.287,0.934,92.011,audio_features,51YhN4y2tOvfI0Sv1hoBRo,spotify:track:51YhN4y2tOvfI0Sv1hoBRo,https://api.spotify.com/v1/tracks/51YhN4y2tOvfI0Sv1hoBRo,https://api.spotify.com/v1/audio-analysis/51YhN4y2tOvfI0Sv1hoBRo,212747,4,Live Like We're Dying,2009-09-25,40,Kris Allen
0.31,0.746,1,-3.599,1,0.111,0.0121,0,0.649,0.163,182.032,audio_features,3YJkAQNEhmCZGLdmPsu6Ye,spotify:track:3YJkAQNEhmCZGLdmPsu6Ye,https://api.spotify.com/v1/tracks/3YJkAQNEhmCZGLdmPsu6Ye,https://api.spotify.com/v1/audio-analysis/3YJkAQNEhmCZGLdmPsu6Ye,250600,4,Hard,2009-11-20,55,Rihanna
0.637,0.69,9,-3.214,0,0.0693,0.417,0,0.211,0.103,140.329,audio_features,35srNkJVToAzYiZzron1FY,spotify:track:35srNkJVToAzYiZzron1FY,https://api.spotify.com/v1/tracks/35srNkJVToAzYiZzron1FY,https://api.spotify.com/v1/audio-analysis/35srNkJVToAzYiZzron1FY,253907,4,Young Forever,2009-09-08,66,JAY-Z
